algorithm,hyperparameters,average,std,max_performance
LinearSVC,default,0.565359477124183,0.1109187107743604,0.7647058823529411
RandomForestClassifier,gini-100,0.6326797385620916,0.12339100729362201,0.8823529411764706
RandomForestClassifier,gini-150,0.6045751633986927,0.12105626798287569,0.8235294117647058
RandomForestClassifier,gini-200,0.5986928104575162,0.1316372970486837,0.7777777777777778
RandomForestClassifier,gini-250,0.6326797385620916,0.1353209534182386,0.8823529411764706
RandomForestClassifier,gini-500,0.616013071895425,0.14882203678556613,0.8823529411764706
RandomForestClassifier,gini-1000,0.5993464052287582,0.14739395365050914,0.8823529411764706
RandomForestClassifier,entropy-100,0.615359477124183,0.13098053892207345,0.8333333333333334
RandomForestClassifier,entropy-150,0.615359477124183,0.13098053892207345,0.8333333333333334
RandomForestClassifier,entropy-200,0.6375816993464053,0.12091900717721546,0.8333333333333334
RandomForestClassifier,entropy-250,0.6379084967320261,0.13063559433558558,0.8333333333333334
RandomForestClassifier,entropy-500,0.6156862745098037,0.13327725336081533,0.8235294117647058
RandomForestClassifier,entropy-1000,0.6212418300653594,0.11952432885652473,0.8235294117647058
SVC,default,0.6549019607843137,0.10631919889410237,0.8823529411764706
SGDClassifier,default,0.4686274509803921,0.114958383612657,0.7222222222222222
KNeighborsClassifier,2-auto-uniform,0.6493464052287582,0.13505907719884375,0.8823529411764706
KNeighborsClassifier,2-auto-distance,0.6104575163398692,0.17108584423764908,0.8823529411764706
KNeighborsClassifier,2-ball_tree-uniform,0.6493464052287582,0.13505907719884375,0.8823529411764706
KNeighborsClassifier,2-ball_tree-distance,0.6104575163398692,0.17108584423764908,0.8823529411764706
KNeighborsClassifier,2-kd_tree-uniform,0.6493464052287582,0.13505907719884375,0.8823529411764706
KNeighborsClassifier,2-kd_tree-distance,0.6104575163398692,0.17108584423764908,0.8823529411764706
KNeighborsClassifier,2-brute-uniform,0.6493464052287582,0.13505907719884375,0.8823529411764706
KNeighborsClassifier,2-brute-distance,0.6104575163398692,0.17108584423764908,0.8823529411764706
KNeighborsClassifier,3-auto-uniform,0.5993464052287582,0.15946373028507813,0.8823529411764706
KNeighborsClassifier,3-auto-distance,0.5882352941176471,0.17492667644864093,0.8823529411764706
KNeighborsClassifier,3-ball_tree-uniform,0.5993464052287582,0.15946373028507813,0.8823529411764706
KNeighborsClassifier,3-ball_tree-distance,0.5882352941176471,0.17492667644864093,0.8823529411764706
KNeighborsClassifier,3-kd_tree-uniform,0.5993464052287582,0.15946373028507813,0.8823529411764706
KNeighborsClassifier,3-kd_tree-distance,0.5882352941176471,0.17492667644864093,0.8823529411764706
KNeighborsClassifier,3-brute-uniform,0.5993464052287582,0.15946373028507813,0.8823529411764706
KNeighborsClassifier,3-brute-distance,0.5882352941176471,0.17492667644864093,0.8823529411764706
KNeighborsClassifier,4-auto-uniform,0.5993464052287582,0.14739395365050914,0.8823529411764706
KNeighborsClassifier,4-auto-distance,0.5993464052287582,0.15946373028507813,0.8823529411764706
KNeighborsClassifier,4-ball_tree-uniform,0.5993464052287582,0.14739395365050914,0.8823529411764706
KNeighborsClassifier,4-ball_tree-distance,0.5993464052287582,0.15946373028507813,0.8823529411764706
KNeighborsClassifier,4-kd_tree-uniform,0.5993464052287582,0.14739395365050914,0.8823529411764706
KNeighborsClassifier,4-kd_tree-distance,0.5993464052287582,0.15946373028507813,0.8823529411764706
