algorithm,hyperparameters,average,std,max_performance
LinearSVC,default,0.6375816993464052,0.1283481910607833,0.8888888888888888
RandomForestClassifier,gini-100,0.627450980392157,0.1284193145730768,0.9411764705882353
RandomForestClassifier,gini-150,0.6496732026143791,0.12847585253139468,0.9411764705882353
RandomForestClassifier,gini-200,0.6607843137254903,0.13182376257207112,0.9411764705882353
RandomForestClassifier,gini-250,0.6663398692810458,0.12839810642032526,0.9411764705882353
RandomForestClassifier,gini-500,0.6493464052287582,0.1231037553477424,0.8823529411764706
RandomForestClassifier,gini-1000,0.6552287581699346,0.13493408253635797,0.9411764705882353
RandomForestClassifier,entropy-100,0.6441176470588236,0.1467422154635028,0.9411764705882353
RandomForestClassifier,entropy-150,0.6382352941176471,0.13082552845084292,0.8823529411764706
RandomForestClassifier,entropy-200,0.6549019607843137,0.11995912556604488,0.8823529411764706
RandomForestClassifier,entropy-250,0.6496732026143791,0.14853147895050473,0.9411764705882353
RandomForestClassifier,entropy-500,0.6607843137254902,0.14519369160663104,0.9411764705882353
RandomForestClassifier,entropy-1000,0.6663398692810457,0.14637057538065307,0.9411764705882353
SVC,default,0.6604575163398693,0.10822323588541347,0.8823529411764706
SGDClassifier,default,0.5594771241830065,0.13751764456748308,0.7222222222222222
KNeighborsClassifier,2-auto-uniform,0.6490196078431373,0.10681026474130374,0.8235294117647058
KNeighborsClassifier,2-auto-distance,0.6323529411764706,0.14609890046819118,0.8888888888888888
KNeighborsClassifier,2-ball_tree-uniform,0.6490196078431373,0.10681026474130374,0.8235294117647058
KNeighborsClassifier,2-ball_tree-distance,0.6323529411764706,0.14609890046819118,0.8888888888888888
KNeighborsClassifier,2-kd_tree-uniform,0.6490196078431373,0.10681026474130374,0.8235294117647058
KNeighborsClassifier,2-kd_tree-distance,0.6323529411764706,0.14609890046819118,0.8888888888888888
KNeighborsClassifier,2-brute-uniform,0.6490196078431373,0.10681026474130374,0.8235294117647058
KNeighborsClassifier,2-brute-distance,0.6323529411764706,0.14609890046819118,0.8888888888888888
KNeighborsClassifier,3-auto-uniform,0.6104575163398694,0.12770044297317906,0.8823529411764706
KNeighborsClassifier,3-auto-distance,0.6441176470588236,0.1549271235181439,0.9411764705882353
KNeighborsClassifier,3-ball_tree-uniform,0.6104575163398694,0.12770044297317906,0.8823529411764706
KNeighborsClassifier,3-ball_tree-distance,0.6441176470588236,0.1549271235181439,0.9411764705882353
KNeighborsClassifier,3-kd_tree-uniform,0.6104575163398694,0.12770044297317906,0.8823529411764706
KNeighborsClassifier,3-kd_tree-distance,0.6441176470588236,0.1549271235181439,0.9411764705882353
KNeighborsClassifier,3-brute-uniform,0.6104575163398694,0.12770044297317906,0.8823529411764706
KNeighborsClassifier,3-brute-distance,0.6441176470588236,0.1549271235181439,0.9411764705882353
KNeighborsClassifier,4-auto-uniform,0.6215686274509805,0.10611408515712814,0.8823529411764706
KNeighborsClassifier,4-auto-distance,0.627450980392157,0.14210990134090784,0.9411764705882353
KNeighborsClassifier,4-ball_tree-uniform,0.6215686274509805,0.10611408515712814,0.8823529411764706
KNeighborsClassifier,4-ball_tree-distance,0.627450980392157,0.14210990134090784,0.9411764705882353
KNeighborsClassifier,4-kd_tree-uniform,0.6215686274509805,0.10611408515712814,0.8823529411764706
KNeighborsClassifier,4-kd_tree-distance,0.627450980392157,0.14210990134090784,0.9411764705882353
KNeighborsClassifier,4-brute-uniform,0.6215686274509805,0.10611408515712814,0.8823529411764706
KNeighborsClassifier,4-brute-distance,0.627450980392157,0.14210990134090784,0.9411764705882353
KNeighborsClassifier,5-auto-uniform,0.6437908496732027,0.12592517206580175,0.8823529411764706
KNeighborsClassifier,5-auto-distance,0.6496732026143791,0.13319389094437942,0.9411764705882353
KNeighborsClassifier,5-ball_tree-uniform,0.6437908496732027,0.12592517206580175,0.8823529411764706
KNeighborsClassifier,5-ball_tree-distance,0.6496732026143791,0.13319389094437942,0.9411764705882353
KNeighborsClassifier,5-kd_tree-uniform,0.6437908496732027,0.12592517206580175,0.8823529411764706
KNeighborsClassifier,5-kd_tree-distance,0.6496732026143791,0.13319389094437942,0.9411764705882353
KNeighborsClassifier,5-brute-uniform,0.6437908496732027,0.12592517206580175,0.8823529411764706
KNeighborsClassifier,5-brute-distance,0.6496732026143791,0.13319389094437942,0.9411764705882353
KNeighborsClassifier,6-auto-uniform,0.6382352941176471,0.12102141584022709,0.8823529411764706
KNeighborsClassifier,6-auto-distance,0.6496732026143791,0.13997308468686076,0.9411764705882353
KNeighborsClassifier,6-ball_tree-uniform,0.6382352941176471,0.12102141584022709,0.8823529411764706
KNeighborsClassifier,6-ball_tree-distance,0.6496732026143791,0.13997308468686076,0.9411764705882353
KNeighborsClassifier,6-kd_tree-uniform,0.6382352941176471,0.12102141584022709,0.8823529411764706
KNeighborsClassifier,6-kd_tree-distance,0.6496732026143791,0.13997308468686076,0.9411764705882353
KNeighborsClassifier,6-brute-uniform,0.6382352941176471,0.12102141584022709,0.8823529411764706
KNeighborsClassifier,6-brute-distance,0.6496732026143791,0.13997308468686076,0.9411764705882353
KNeighborsClassifier,7-auto-uniform,0.6493464052287582,0.1179829084210177,0.8823529411764706
KNeighborsClassifier,7-auto-distance,0.638562091503268,0.13591942893317008,0.9411764705882353
KNeighborsClassifier,7-ball_tree-uniform,0.6493464052287582,0.1179829084210177,0.8823529411764706
KNeighborsClassifier,7-ball_tree-distance,0.638562091503268,0.13591942893317008,0.9411764705882353
KNeighborsClassifier,7-kd_tree-uniform,0.6493464052287582,0.1179829084210177,0.8823529411764706
KNeighborsClassifier,7-kd_tree-distance,0.638562091503268,0.13591942893317008,0.9411764705882353
KNeighborsClassifier,7-brute-uniform,0.6493464052287582,0.1179829084210177,0.8823529411764706
KNeighborsClassifier,7-brute-distance,0.638562091503268,0.13591942893317008,0.9411764705882353
KNeighborsClassifier,8-auto-uniform,0.6493464052287582,0.13505907719884375,0.8823529411764706
KNeighborsClassifier,8-auto-distance,0.6496732026143791,0.12605062765830002,0.9411764705882353
KNeighborsClassifier,8-ball_tree-uniform,0.6493464052287582,0.13505907719884375,0.8823529411764706
KNeighborsClassifier,8-ball_tree-distance,0.6496732026143791,0.12605062765830002,0.9411764705882353
KNeighborsClassifier,8-kd_tree-uniform,0.6493464052287582,0.13505907719884375,0.8823529411764706
KNeighborsClassifier,8-kd_tree-distance,0.6496732026143791,0.12605062765830002,0.9411764705882353
KNeighborsClassifier,8-brute-uniform,0.6493464052287582,0.13505907719884375,0.8823529411764706
KNeighborsClassifier,8-brute-distance,0.6496732026143791,0.12605062765830002,0.9411764705882353
KNeighborsClassifier,9-auto-uniform,0.6549019607843137,0.11735803277131411,0.8823529411764706
KNeighborsClassifier,9-auto-distance,0.6552287581699346,0.13720237089987164,0.9411764705882353
KNeighborsClassifier,9-ball_tree-uniform,0.6549019607843137,0.11735803277131411,0.8823529411764706
KNeighborsClassifier,9-ball_tree-distance,0.6552287581699346,0.13720237089987164,0.9411764705882353
KNeighborsClassifier,9-kd_tree-uniform,0.6549019607843137,0.11735803277131411,0.8823529411764706
KNeighborsClassifier,9-kd_tree-distance,0.6552287581699346,0.13720237089987164,0.9411764705882353
KNeighborsClassifier,9-brute-uniform,0.6549019607843137,0.11735803277131411,0.8823529411764706
KNeighborsClassifier,9-brute-distance,0.6552287581699346,0.13720237089987164,0.9411764705882353
KNeighborsClassifier,10-auto-uniform,0.6212418300653595,0.09668398824864642,0.8235294117647058
KNeighborsClassifier,10-auto-distance,0.6441176470588236,0.12393723529659777,0.9411764705882353
KNeighborsClassifier,10-ball_tree-uniform,0.6212418300653595,0.09668398824864642,0.8235294117647058
KNeighborsClassifier,10-ball_tree-distance,0.6441176470588236,0.12393723529659777,0.9411764705882353
KNeighborsClassifier,10-kd_tree-uniform,0.6212418300653595,0.09668398824864642,0.8235294117647058
KNeighborsClassifier,10-kd_tree-distance,0.6441176470588236,0.12393723529659777,0.9411764705882353
KNeighborsClassifier,10-brute-uniform,0.6212418300653595,0.09668398824864642,0.8235294117647058
KNeighborsClassifier,10-brute-distance,0.6441176470588236,0.12393723529659777,0.9411764705882353
KNeighborsClassifier,11-auto-uniform,0.6212418300653595,0.09982523495730769,0.8235294117647058
KNeighborsClassifier,11-auto-distance,0.627450980392157,0.12099449782352502,0.9411764705882353
KNeighborsClassifier,11-ball_tree-uniform,0.6212418300653595,0.09982523495730769,0.8235294117647058
KNeighborsClassifier,11-ball_tree-distance,0.627450980392157,0.12099449782352502,0.9411764705882353
KNeighborsClassifier,11-kd_tree-uniform,0.6212418300653595,0.09982523495730769,0.8235294117647058
KNeighborsClassifier,11-kd_tree-distance,0.627450980392157,0.12099449782352502,0.9411764705882353
KNeighborsClassifier,11-brute-uniform,0.6212418300653595,0.09982523495730769,0.8235294117647058
KNeighborsClassifier,11-brute-distance,0.627450980392157,0.12099449782352502,0.9411764705882353
KNeighborsClassifier,12-auto-uniform,0.6205882352941177,0.05157707627302072,0.7058823529411765
KNeighborsClassifier,12-auto-distance,0.627450980392157,0.12599300141198944,0.9411764705882353
KNeighborsClassifier,12-ball_tree-uniform,0.6205882352941177,0.05157707627302072,0.7058823529411765
KNeighborsClassifier,12-ball_tree-distance,0.627450980392157,0.12599300141198944,0.9411764705882353
KNeighborsClassifier,12-kd_tree-uniform,0.6205882352941177,0.05157707627302072,0.7058823529411765
KNeighborsClassifier,12-kd_tree-distance,0.627450980392157,0.12599300141198944,0.9411764705882353
KNeighborsClassifier,12-brute-uniform,0.6205882352941177,0.05157707627302072,0.7058823529411765
KNeighborsClassifier,12-brute-distance,0.627450980392157,0.12599300141198944,0.9411764705882353
KNeighborsClassifier,13-auto-uniform,0.5983660130718954,0.07532591127036117,0.7222222222222222
KNeighborsClassifier,13-auto-distance,0.6330065359477125,0.12139148313708853,0.9411764705882353
KNeighborsClassifier,13-ball_tree-uniform,0.5983660130718954,0.07532591127036117,0.7222222222222222
KNeighborsClassifier,13-ball_tree-distance,0.6330065359477125,0.12139148313708853,0.9411764705882353
KNeighborsClassifier,13-kd_tree-uniform,0.5983660130718954,0.07532591127036117,0.7222222222222222
KNeighborsClassifier,13-kd_tree-distance,0.6330065359477125,0.12139148313708853,0.9411764705882353
KNeighborsClassifier,13-brute-uniform,0.5983660130718954,0.07532591127036117,0.7222222222222222
KNeighborsClassifier,13-brute-distance,0.6330065359477125,0.12139148313708853,0.9411764705882353
KNeighborsClassifier,14-auto-uniform,0.5594771241830065,0.07301270885132509,0.7058823529411765
KNeighborsClassifier,14-auto-distance,0.6215686274509805,0.11977737191064373,0.8823529411764706
KNeighborsClassifier,14-ball_tree-uniform,0.5594771241830065,0.07301270885132509,0.7058823529411765
KNeighborsClassifier,14-ball_tree-distance,0.6215686274509805,0.11977737191064373,0.8823529411764706
KNeighborsClassifier,14-kd_tree-uniform,0.5594771241830065,0.07301270885132509,0.7058823529411765
KNeighborsClassifier,14-kd_tree-distance,0.6215686274509805,0.11977737191064373,0.8823529411764706
KNeighborsClassifier,14-brute-uniform,0.5594771241830065,0.07301270885132509,0.7058823529411765
KNeighborsClassifier,14-brute-distance,0.6215686274509805,0.11977737191064373,0.8823529411764706
GaussianProcessClassifier,default,0.6767973856209151,0.10036936781785229,0.8333333333333334
DecisionTreeClassifier,gini-best,0.5104575163398692,0.16102723558780632,0.8823529411764706
DecisionTreeClassifier,gini-random,0.5202614379084968,0.14345474682105422,0.8333333333333334
DecisionTreeClassifier,entropy-best,0.5091503267973857,0.11618370954529843,0.7222222222222222
DecisionTreeClassifier,entropy-random,0.5150326797385621,0.09296452277491116,0.7058823529411765
BaggingClassifier,10-True,0.5931372549019608,0.11992395457372758,0.7777777777777778
BaggingClassifier,50-True,0.627124183006536,0.14803921568627448,0.8888888888888888
BaggingClassifier,100-True,0.6215686274509805,0.1272732127105799,0.8823529411764706
BaggingClassifier,150-True,0.6330065359477124,0.14880624847643145,0.9411764705882353
BaggingClassifier,200-True,0.627450980392157,0.1484825778028332,0.9411764705882353
BaggingClassifier,250-True,0.6330065359477125,0.14459851895643638,0.9411764705882353
BaggingClassifier,500-True,0.627124183006536,0.132644719935195,0.8823529411764706
BaggingClassifier,1000-True,0.6330065359477125,0.15086611129159108,0.9411764705882353
BaggingClassifier,10-False,0.5212418300653595,0.14321221960311165,0.8235294117647058
BaggingClassifier,50-False,0.5320261437908497,0.13191284856120908,0.7647058823529411
BaggingClassifier,100-False,0.5375816993464053,0.14286130023304466,0.7647058823529411
BaggingClassifier,150-False,0.5320261437908497,0.14313427041983656,0.7647058823529411
BaggingClassifier,200-False,0.5320261437908497,0.14313427041983656,0.7647058823529411
BaggingClassifier,250-False,0.5320261437908497,0.14313427041983656,0.7647058823529411
BaggingClassifier,500-False,0.5320261437908497,0.14313427041983656,0.7647058823529411
BaggingClassifier,1000-False,0.5320261437908497,0.14313427041983656,0.7647058823529411
AdaBoostClassifier,10-SAMME,0.5643790849673203,0.06357112189493538,0.6666666666666666
AdaBoostClassifier,10-SAMME.R,0.5088235294117646,0.10284568659598241,0.7222222222222222
AdaBoostClassifier,50-SAMME,0.5542483660130719,0.12929948255036064,0.7647058823529411
AdaBoostClassifier,50-SAMME.R,0.5196078431372548,0.09943451545113202,0.7222222222222222
AdaBoostClassifier,100-SAMME,0.615686274509804,0.08880474679613932,0.8235294117647058
AdaBoostClassifier,100-SAMME.R,0.5529411764705883,0.10273919389645347,0.7777777777777778
AdaBoostClassifier,150-SAMME,0.604248366013072,0.10756996497285665,0.7647058823529411
AdaBoostClassifier,150-SAMME.R,0.5647058823529412,0.08685435959858726,0.7222222222222222
AdaBoostClassifier,200-SAMME,0.615686274509804,0.09550314630817662,0.8235294117647058
AdaBoostClassifier,200-SAMME.R,0.5754901960784313,0.049871679500996954,0.6666666666666666
AdaBoostClassifier,250-SAMME,0.5983660130718955,0.07532591127036119,0.7222222222222222
AdaBoostClassifier,250-SAMME.R,0.5699346405228758,0.07386199294838183,0.7222222222222222
