min_value,max_value,avg_value,std_value,q1_value,q3_value,feature
15.0,28.0,19.333333333333332,6.128258770283412,15.0,21.5,length
1798.0,3294.9,2301.33,702.5804085417318,1804.545,2552.995,molecular_weigth
2.028,4.027,3.017333333333333,0.8162149771285068,2.5125,3.512,charge
0.0009095875,0.0022235229000000002,0.0014203434333333335,0.0005748856123778906,0.0010187537,0.0016757214000000002,charge_density
8.7451171875,10.65625,9.875325520833334,0.8183750423205248,9.48486328125,10.4404296875,isoelectric
21.2571428571,54.0333333333,41.22126984123333,14.304630361738363,34.8152380952,51.203333333299994,inestability
0.0666666667,0.1071428571,0.08015873016666668,0.019080659138958556,0.0666666667,0.0869047619,aromaticity
65.3333333333,139.2857142857,89.9841269841,34.861486704221946,65.3333333333,102.3095238095,aliphatic_index
0.3333333333,0.42857142859999997,0.3650793650666666,0.044895668675947104,0.3333333333,0.38095238094999995,hydrophobic_ratio
-0.0197142857,7.259820924417218e-06,-0.008378532426358528,0.008317112558905252,-0.01257142855,-0.0027106557895377917,hydrophobicity_profile
-0.0434796921,-0.0059411359,-0.026616333699999998,0.015560278277367749,-0.0369539326,-0.0181846545,hydrophobic_profile
16.6924641112,50.0,38.897488037066665,15.701322994389853,33.3462320556,50.0,inhibition_IC50
