min_value,max_value,avg_value,std_value,q1_value,q3_value,feature
35.0,56.0,37.214285714285715,5.226014206811528,36.0,36.0,length
4157.52,6473.56,4580.572142857143,534.411228391697,4416.77,4517.19,molecular_weigth
-3.9960000000000004,1.008,-2.9251428571428577,1.658907035074723,-3.898,-2.39925,charge
-0.0009375782000000001,0.0001557103,-0.0006649655222306009,0.00036299274140852596,-0.000879084975,-0.000534599975,charge_density
3.6884765625,7.1875,4.334943498914287,0.8709627279552681,3.9633789063,4.1746826172,isoelectric
47.775,91.42,64.8470351474,12.291860494062508,53.825178571425006,72.18194444445001,inestability
0.0571428571,0.1666666667,0.11839569160714285,0.039010063666403895,0.09027777775000001,0.1388888889,aromaticity
83.9285714286,103.14285714290001,89.98582766437858,3.911064289874742,89.4444444444,89.4444444444,aliphatic_index
0.2285714286,0.44642857140000003,0.2834183673571428,0.04756898789068678,0.2777777778,0.2777777778,hydrophobic_ratio
-0.0167945109,0.046368663600000005,0.0076036836,0.015201484525987184,0.001332909575,0.011185432825000001,hydrophobicity_profile
-0.007534659,0.0096334826,0.0023139795142857146,0.004411630985049504,0.00026532555,0.00531960535,hydrophobic_profile
12.590239416900001,91.0,35.78052208603571,23.961376613034677,22.1690804386,38.98507324067501,inhibition_IC50
