P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,response_IC50,category_IC50
178.09910918909998,121.05957087181888,11.726960067441794,29.877340179906838,21.92932966132554,44.58026717671719,31.764783002570432,40.24579928629905,18.45783450583301,28.273296273294296,14.992156526164193,42.97945703973092,20.725120948327657,106.11641670013267,95.37737663849786,26.240168916717476,19.50667465782622,45.78111317596856,28.446032809642894,26.15643196823511,47.923351466715886,40.90133001063767,24.539546806479926,31.0783303353367,38.71265396180596,32.08803132648928,7.9357571623113525,40.19760481360076,33.0753186134621,20.419815248876727,25.136935703876038,52.01975681843092,4.7728574416,Class I
71.0833396735,65.49084866641141,33.500218983520426,18.341659829734287,31.324891456926377,4.929084463348064,13.20523765784485,16.89336866454449,32.029500415792235,34.692758223469845,33.22164207545126,29.00528420302929,41.430719918579776,10.15205732194932,23.439989629029885,19.754190021825718,21.764426502508936,11.5870086168815,8.662338433917396,12.502688747991876,23.610701038816497,13.054413856224766,36.68560411767949,54.79100010607881,41.65077401011086,35.41260298759915,48.04977480883601,45.663091086907706,9.332389768553888,50.43222134267804,55.02625638974364,24.554470844069563,5.1698521198,Class I
75.2274941384,55.814151742013706,11.862992202838667,18.33350805489767,18.70827183974712,9.780018021347908,12.158837740740877,19.323222554868842,30.765610467921434,36.1805228314796,9.023003215304605,27.149902385873943,27.153183699244387,7.761445581636502,24.994817268899663,12.807877510917946,20.983275012568498,27.603915619058228,23.487861175907693,11.769013547911548,10.022705484504115,2.190221198740164,16.988440539940775,14.003415229968414,10.83760311408541,11.465587823393712,10.579609073452335,14.795893496490324,25.12302497501559,30.154322515205987,20.289260756764243,15.683172067927261,23.05,Class II
62.2027309707,61.0127303982382,37.62322987884589,14.943162817175548,22.594531066391447,12.685337460500962,18.218592698100466,25.335575508079692,39.12950926752246,28.880726557321612,24.935388482369476,21.731923872550595,33.406206596244715,4.0461426200914685,27.722826425566755,25.612217155472393,29.071952426521186,19.329501091814596,16.76913124677513,5.3111809853151275,20.69399725609067,21.523442337287985,32.15812845487691,46.23804390168771,35.36127301209297,29.37074237292237,46.988839762598076,52.56584128525865,15.843992908718569,45.582760495233124,59.225845187686105,27.602811631371807,1.3,Class I
62.3234052981,61.08661729830174,37.59837419204481,14.892020155992768,22.693847449750415,12.64717869275713,18.10784533711944,25.33241491421693,39.064671489366916,28.773111145467848,24.92632702553603,21.619239793949646,33.29707484929241,3.9577209005977285,27.754876271824862,25.689649181447674,29.181210400924712,19.449547902697923,16.88719374526319,5.302707411851229,20.594570893818688,21.580440681327612,32.240979763970536,46.20491263463314,35.274076868198215,29.294995332412352,46.88010090142441,52.45236634289314,15.81114139708898,45.57417674363716,59.12821297237546,27.56559760476984,19.0,Class II
50.8106438398,50.1250733595993,29.605825327273777,4.559763820392484,22.61310330331952,16.262684024730575,31.227932743478036,44.39054533763651,15.459381913875035,31.238478929106158,35.42620066761222,25.904751538326984,19.94256128020468,24.905743756670017,22.374997453886696,22.103317358408454,23.931665838899722,21.2826666767491,0.5721068852940165,14.315420319977548,10.4825352101132,9.833997619455618,30.839171213801126,29.142338028942298,39.425655461900625,47.59648957580961,35.182621303206574,26.75579125139541,16.499489575175478,10.303740798143174,17.07675375744292,16.553190807889422,1.4,Class I
116.9948676379,83.0461875984617,20.407673007497888,22.02511097530257,41.56740367691617,62.541091506102056,46.770653746089806,18.84292171565751,39.13561571696853,42.76920296647158,31.322952193029078,20.737034949132216,25.535565523935134,29.421229294741547,22.298055884305054,16.80573887805719,31.758496041522434,30.609246316655103,21.734589179822887,18.760199297152898,22.353003348885466,30.105933169809333,20.56582551978601,30.372469932571875,22.13328099256915,18.210084271015354,46.12456857177509,32.585872762054464,2.4829795788764986,15.720934186954135,17.85519681695952,19.99732941391576,29.7534037894,Class II
35.274775249099996,51.97983039553039,41.22504768945904,5.135996713090975,17.735298171045084,11.586819084590758,20.573395405972494,39.78179071642942,24.96516687968739,20.631451288075603,35.564764565592526,28.35690994492386,14.747324928622811,12.415559874246485,7.077025933004847,18.731358179866117,36.94985891062765,29.242868621928615,7.843752939771282,9.037748793664868,23.868348086162644,3.960419764007808,33.84960665399732,33.82572470994473,36.36881083894466,47.49360855444052,29.668737688068944,29.92887202912342,28.289724162376352,23.67300341504673,21.35365942690616,16.452274383505895,2.6,Class I
37.912026086599994,63.8978503837402,45.88616321253024,10.70792969999677,12.077815380370094,17.7061113416743,28.81154610248608,23.58074984733564,16.088573061508644,9.52695403713556,20.819203017824986,31.914747743442675,26.83873117988225,10.567522320486583,22.697270773103934,19.281936826794272,10.08440457249969,33.71978259712549,39.87648295041886,21.31713708033227,10.80732269203795,21.9910167380987,20.952637754299502,28.566431951533474,29.728977716687137,50.24833913215089,38.47384883870007,26.43551708282377,13.66373104070999,33.85028295464934,41.74587678153457,26.26128367509098,30.5,Class II
64.22800952760001,42.29808566129592,48.49386386688501,41.832067912362646,31.958433619416542,20.289200399131097,12.356247933270408,16.612159733368447,26.20492692720693,42.1726579125622,23.820058428857443,10.567812419763492,28.57829446490445,22.79479134512551,11.085212041251753,14.960476938214503,2.894011497084618,19.180395235757814,8.166451956658596,10.3488056964155,8.2537386023446,36.41584778168253,55.82825809361099,34.50253261291268,18.975968013129407,23.58916939877286,26.894344079061327,48.47807825325116,34.776484370016306,16.686349703694276,30.617777612615555,59.06504289278849,217.1911108022,Class III
