algorithm,hyperparameters,average,std,max_performance
LinearSVC,default,0.6326797385620914,0.09833506559401445,0.8823529411764706
RandomForestClassifier,gini-100,0.6820261437908497,0.08845349442395392,0.7777777777777778
RandomForestClassifier,gini-150,0.6990196078431372,0.095550660175203,0.8333333333333334
RandomForestClassifier,gini-200,0.7101307189542483,0.09103580406316877,0.8333333333333334
RandomForestClassifier,gini-250,0.703921568627451,0.10541128164117969,0.8333333333333334
RandomForestClassifier,gini-500,0.7045751633986927,0.10440345379997612,0.8333333333333334
RandomForestClassifier,gini-1000,0.6990196078431372,0.09872797278651278,0.8235294117647058
RandomForestClassifier,entropy-100,0.7156862745098039,0.08990195484470273,0.8333333333333334
RandomForestClassifier,entropy-150,0.6767973856209151,0.09067611672487673,0.8235294117647058
RandomForestClassifier,entropy-200,0.6934640522875817,0.09565510760675891,0.8235294117647058
RandomForestClassifier,entropy-250,0.7101307189542483,0.10664866325704264,0.8333333333333334
RandomForestClassifier,entropy-500,0.6879084967320261,0.09214585295565456,0.8235294117647058
RandomForestClassifier,entropy-1000,0.6990196078431372,0.09872797278651278,0.8235294117647058
SVC,default,0.6660130718954248,0.10981364725057748,0.8823529411764706
SGDClassifier,default,0.5483660130718955,0.11270293802998763,0.7058823529411765
KNeighborsClassifier,2-auto-uniform,0.6882352941176471,0.11326440976632791,0.8823529411764706
KNeighborsClassifier,2-auto-distance,0.6882352941176471,0.08528347415624601,0.8823529411764706
KNeighborsClassifier,2-ball_tree-uniform,0.6882352941176471,0.11326440976632791,0.8823529411764706
KNeighborsClassifier,2-ball_tree-distance,0.6882352941176471,0.08528347415624601,0.8823529411764706
KNeighborsClassifier,2-kd_tree-uniform,0.6882352941176471,0.11326440976632791,0.8823529411764706
KNeighborsClassifier,2-kd_tree-distance,0.6882352941176471,0.08528347415624601,0.8823529411764706
KNeighborsClassifier,2-brute-uniform,0.6882352941176471,0.11326440976632791,0.8823529411764706
KNeighborsClassifier,2-brute-distance,0.6882352941176471,0.08528347415624601,0.8823529411764706
KNeighborsClassifier,3-auto-uniform,0.6549019607843137,0.10631919889410237,0.8823529411764706
KNeighborsClassifier,3-auto-distance,0.6715686274509803,0.09621672053905458,0.8823529411764706
KNeighborsClassifier,3-ball_tree-uniform,0.6549019607843137,0.10631919889410237,0.8823529411764706
KNeighborsClassifier,3-ball_tree-distance,0.6715686274509803,0.09621672053905458,0.8823529411764706
KNeighborsClassifier,3-kd_tree-uniform,0.6549019607843137,0.10631919889410237,0.8823529411764706
KNeighborsClassifier,3-kd_tree-distance,0.6715686274509803,0.09621672053905458,0.8823529411764706
KNeighborsClassifier,3-brute-uniform,0.6549019607843137,0.10631919889410237,0.8823529411764706
KNeighborsClassifier,3-brute-distance,0.6715686274509803,0.09621672053905458,0.8823529411764706
KNeighborsClassifier,4-auto-uniform,0.6493464052287582,0.11533725646496436,0.8823529411764706
KNeighborsClassifier,4-auto-distance,0.6937908496732026,0.1049528514596843,0.8823529411764706
KNeighborsClassifier,4-ball_tree-uniform,0.6493464052287582,0.11533725646496436,0.8823529411764706
KNeighborsClassifier,4-ball_tree-distance,0.6937908496732026,0.1049528514596843,0.8823529411764706
KNeighborsClassifier,4-kd_tree-uniform,0.6493464052287582,0.11533725646496436,0.8823529411764706
KNeighborsClassifier,4-kd_tree-distance,0.6937908496732026,0.1049528514596843,0.8823529411764706
KNeighborsClassifier,4-brute-uniform,0.6493464052287582,0.11533725646496436,0.8823529411764706
KNeighborsClassifier,4-brute-distance,0.6937908496732026,0.1049528514596843,0.8823529411764706
KNeighborsClassifier,5-auto-uniform,0.6607843137254902,0.11954532456592085,0.9411764705882353
KNeighborsClassifier,5-auto-distance,0.6774509803921569,0.12302565263022203,0.9411764705882353
KNeighborsClassifier,5-ball_tree-uniform,0.6607843137254902,0.11954532456592085,0.9411764705882353
KNeighborsClassifier,5-ball_tree-distance,0.6774509803921569,0.12302565263022203,0.9411764705882353
KNeighborsClassifier,5-kd_tree-uniform,0.6607843137254902,0.11954532456592085,0.9411764705882353
KNeighborsClassifier,5-kd_tree-distance,0.6774509803921569,0.12302565263022203,0.9411764705882353
KNeighborsClassifier,5-brute-uniform,0.6607843137254902,0.11954532456592085,0.9411764705882353
KNeighborsClassifier,5-brute-distance,0.6774509803921569,0.12302565263022203,0.9411764705882353
KNeighborsClassifier,6-auto-uniform,0.6493464052287582,0.10985497179295252,0.8823529411764706
KNeighborsClassifier,6-auto-distance,0.677124183006536,0.11210436481786917,0.8823529411764706
KNeighborsClassifier,6-ball_tree-uniform,0.6493464052287582,0.10985497179295252,0.8823529411764706
KNeighborsClassifier,6-ball_tree-distance,0.677124183006536,0.11210436481786917,0.8823529411764706
KNeighborsClassifier,6-kd_tree-uniform,0.6493464052287582,0.10985497179295252,0.8823529411764706
KNeighborsClassifier,6-kd_tree-distance,0.677124183006536,0.11210436481786917,0.8823529411764706
KNeighborsClassifier,6-brute-uniform,0.6493464052287582,0.10985497179295252,0.8823529411764706
KNeighborsClassifier,6-brute-distance,0.677124183006536,0.11210436481786917,0.8823529411764706
KNeighborsClassifier,7-auto-uniform,0.6604575163398693,0.11646510480552402,0.8823529411764706
KNeighborsClassifier,7-auto-distance,0.677124183006536,0.12262350677454566,0.8823529411764706
KNeighborsClassifier,7-ball_tree-uniform,0.6604575163398693,0.11646510480552402,0.8823529411764706
KNeighborsClassifier,7-ball_tree-distance,0.677124183006536,0.12262350677454566,0.8823529411764706
KNeighborsClassifier,7-kd_tree-uniform,0.6604575163398693,0.11646510480552402,0.8823529411764706
