algorithm,hyperparameters,average,std,max_performance
LinearSVC,default,0.6137254901960785,0.09521868680509445,0.7777777777777778
RandomForestClassifier,gini-100,0.6205882352941177,0.17268667761015466,0.9444444444444444
RandomForestClassifier,gini-150,0.6320261437908496,0.164078325147743,0.8888888888888888
RandomForestClassifier,gini-200,0.6205882352941177,0.15774161473465145,0.9444444444444444
RandomForestClassifier,gini-250,0.5928104575163399,0.18157822642930752,0.9444444444444444
RandomForestClassifier,gini-500,0.6094771241830066,0.1866711177404546,0.9444444444444444
RandomForestClassifier,gini-1000,0.6042483660130719,0.19364199774374238,0.9444444444444444
RandomForestClassifier,entropy-100,0.5813725490196079,0.1547132824040394,0.8888888888888888
RandomForestClassifier,entropy-150,0.6147058823529412,0.14095881612117378,0.9444444444444444
RandomForestClassifier,entropy-200,0.6209150326797386,0.18115897452987187,0.9444444444444444
RandomForestClassifier,entropy-250,0.5758169934640522,0.1786287782535366,0.9444444444444444
RandomForestClassifier,entropy-500,0.6209150326797386,0.1651151673746516,0.9444444444444444
RandomForestClassifier,entropy-1000,0.6039215686274509,0.17009670502324065,0.9444444444444444
SVC,default,0.5980392156862746,0.08400663536240327,0.7777777777777778
SGDClassifier,default,0.519281045751634,0.14811133882068933,0.7777777777777778
KNeighborsClassifier,2-auto-uniform,0.5931372549019607,0.147611524915939,0.7777777777777778
KNeighborsClassifier,2-auto-distance,0.5986928104575162,0.15530132462755594,0.8333333333333334
KNeighborsClassifier,2-ball_tree-uniform,0.5931372549019607,0.147611524915939,0.7777777777777778
KNeighborsClassifier,2-ball_tree-distance,0.5986928104575162,0.15530132462755594,0.8333333333333334
KNeighborsClassifier,2-kd_tree-uniform,0.5931372549019607,0.147611524915939,0.7777777777777778
KNeighborsClassifier,2-kd_tree-distance,0.5986928104575162,0.15530132462755594,0.8333333333333334
KNeighborsClassifier,2-brute-uniform,0.5931372549019607,0.147611524915939,0.7777777777777778
KNeighborsClassifier,2-brute-distance,0.5986928104575162,0.15530132462755594,0.8333333333333334
KNeighborsClassifier,3-auto-uniform,0.6042483660130719,0.1605267212287697,0.8333333333333334
KNeighborsClassifier,3-auto-distance,0.5820261437908496,0.1693330855988363,0.7777777777777778
KNeighborsClassifier,3-ball_tree-uniform,0.6042483660130719,0.1605267212287697,0.8333333333333334
KNeighborsClassifier,3-ball_tree-distance,0.5820261437908496,0.1693330855988363,0.7777777777777778
KNeighborsClassifier,3-kd_tree-uniform,0.6042483660130719,0.1605267212287697,0.8333333333333334
KNeighborsClassifier,3-kd_tree-distance,0.5820261437908496,0.1693330855988363,0.7777777777777778
KNeighborsClassifier,3-brute-uniform,0.6042483660130719,0.1605267212287697,0.8333333333333334
KNeighborsClassifier,3-brute-distance,0.5820261437908496,0.1693330855988363,0.7777777777777778
KNeighborsClassifier,4-auto-uniform,0.565359477124183,0.11635088440179894,0.7647058823529411
KNeighborsClassifier,4-auto-distance,0.6098039215686275,0.19455398682956065,0.9444444444444444
KNeighborsClassifier,4-ball_tree-uniform,0.565359477124183,0.11635088440179894,0.7647058823529411
KNeighborsClassifier,4-ball_tree-distance,0.6098039215686275,0.19455398682956065,0.9444444444444444
KNeighborsClassifier,4-kd_tree-uniform,0.565359477124183,0.11635088440179894,0.7647058823529411
KNeighborsClassifier,4-kd_tree-distance,0.6098039215686275,0.19455398682956065,0.9444444444444444
KNeighborsClassifier,4-brute-uniform,0.565359477124183,0.11635088440179894,0.7647058823529411
KNeighborsClassifier,4-brute-distance,0.6098039215686275,0.19455398682956065,0.9444444444444444
KNeighborsClassifier,5-auto-uniform,0.5486928104575163,0.1279231241281329,0.7777777777777778
KNeighborsClassifier,5-auto-distance,0.5486928104575164,0.16199033581228922,0.7777777777777778
KNeighborsClassifier,5-ball_tree-uniform,0.5486928104575163,0.1279231241281329,0.7777777777777778
KNeighborsClassifier,5-ball_tree-distance,0.5486928104575164,0.16199033581228922,0.7777777777777778
KNeighborsClassifier,5-kd_tree-uniform,0.5486928104575163,0.1279231241281329,0.7777777777777778
KNeighborsClassifier,5-kd_tree-distance,0.5486928104575164,0.16199033581228922,0.7777777777777778
KNeighborsClassifier,5-brute-uniform,0.5486928104575163,0.1279231241281329,0.7777777777777778
KNeighborsClassifier,5-brute-distance,0.5486928104575164,0.16199033581228922,0.7777777777777778
KNeighborsClassifier,6-auto-uniform,0.5431372549019607,0.12381955758252958,0.7647058823529411
KNeighborsClassifier,6-auto-distance,0.5709150326797386,0.17249856907532393,0.8333333333333334
KNeighborsClassifier,6-ball_tree-uniform,0.5431372549019607,0.12381955758252958,0.7647058823529411
KNeighborsClassifier,6-ball_tree-distance,0.5709150326797386,0.17249856907532393,0.8333333333333334
KNeighborsClassifier,6-kd_tree-uniform,0.5431372549019607,0.12381955758252958,0.7647058823529411
KNeighborsClassifier,6-kd_tree-distance,0.5709150326797386,0.17249856907532393,0.8333333333333334
KNeighborsClassifier,6-brute-uniform,0.5431372549019607,0.12381955758252958,0.7647058823529411
KNeighborsClassifier,6-brute-distance,0.5709150326797386,0.17249856907532393,0.8333333333333334
KNeighborsClassifier,7-auto-uniform,0.5150326797385621,0.11111303343204466,0.7222222222222222
KNeighborsClassifier,7-auto-distance,0.5486928104575163,0.15418084541897253,0.8333333333333334
KNeighborsClassifier,7-ball_tree-uniform,0.5150326797385621,0.11111303343204466,0.7222222222222222
KNeighborsClassifier,7-ball_tree-distance,0.5486928104575163,0.15418084541897253,0.8333333333333334
KNeighborsClassifier,7-kd_tree-uniform,0.5150326797385621,0.11111303343204466,0.7222222222222222
