P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,response
1408.7215205979,1775.7914020510761,1791.7783358004951,1114.105318943139,947.4821390677495,181.97668600715275,768.9667419014837,928.3582640484238,640.5795697915119,594.1122535810392,345.7390407886169,578.5602781858105,1197.1218929471152,114.88544857464183,1326.346201213064,297.883257846964,1811.0053022068366,1130.048229150274,1694.2999995167868,1221.2311917304453,445.42884292700853,91.48299359978836,799.0092774515787,869.493870524677,459.56756390425517,304.7111593231543,300.21398411383,75.39899140328392,15.629561016199998
2128.2348860862003,1455.6910985323125,1380.2998271559807,1877.1884050828749,731.7506246078887,198.61524291596896,772.0631014646556,847.1623353782287,323.0126259228651,495.06242099395774,95.0877004908924,886.8401075173853,1129.906524321665,45.14365610499442,311.3430315993871,1873.3366607347734,1646.3135252546701,1091.9399168700838,511.59569343120825,557.8593840201695,159.30007669252822,524.1083474328333,969.919089469085,637.6992413939148,455.4759862474933,291.25710935731723,651.8202567158415,713.5972731856414,1.0
1795.8286233521003,1432.398584918243,232.97469441452816,887.5038337584531,496.6226041108763,729.475889050286,491.52464248050177,525.7542922696856,1355.832145447183,606.3134851853202,557.7926559013553,561.0492982083666,286.3785568008246,335.4326692806462,1111.5019745220088,935.2834641716937,380.2494644975432,650.3854247927441,582.7679111875542,533.9201426484606,392.5779234806661,288.3658946226228,546.5696976493076,1058.0709052256418,962.4283655959143,1312.2935003574116,1485.0128821805697,497.3928502490297,71.8069255386
2816.2923444907,1997.6440758200858,188.7665743112356,783.9119262728487,365.4642514871601,226.6860338160056,502.309682360156,619.771146050565,1391.1577039230167,404.0061732490886,299.1914931497245,417.8510198826302,218.2292841955252,417.0301895509887,471.0246005555155,1504.2813352104893,3034.1964067107756,1217.768974906806,538.2261691395104,186.11039053745824,324.04967963157225,413.89577591699793,314.0270576505463,301.62418861084893,1558.4926524880577,1207.3119030488115,677.1208403182243,504.06752538076114,117000.0
1044.731833376,1924.7144946097915,2018.089304173039,779.9623904319727,1244.7832720721174,452.87112247803077,967.4784023455259,583.8576841207008,406.1783697715187,720.6374990841994,402.4806010350425,833.0075686584655,851.1399254483829,425.6380793033724,1122.0712105471353,491.7570746610924,1589.2368313115378,1080.1734629861783,1720.0942320978438,1544.8129102346663,740.8907400917589,389.38295079143523,563.679572061716,704.5206536492674,474.6152290931878,574.847623319386,33.91914158350824,305.0252512822221,446.0
2345.1992492868003,1451.9229649067092,1391.5135951687328,1590.589473740256,1049.0936384362667,251.87719564580001,860.934614560565,915.5871917531716,533.3520374164398,611.9974557293615,394.4422195295096,1072.368898230972,596.3958318304054,247.519925598691,429.2208215013972,1383.4288690484232,1730.9620056472606,550.666395388983,1093.0763273370849,876.8371360106984,708.3619322274814,210.01922389000072,942.0597684402255,714.2739074811054,752.5795208507923,428.8290218254598,722.8998587759188,674.4309939749209,9.9644224825
1028.7708788304,464.69461363945857,525.6575748739415,1491.7098529533055,1371.8971397391415,794.1865657744079,186.24520983640195,845.9828047632004,569.170025635918,756.4608250021824,546.293708506568,146.42925843588898,972.6676466869756,937.3552964368736,1285.0216523301217,1649.5302738322466,569.9487953497979,1805.6291010212497,1413.141361175769,910.5749512598608,502.42356511204014,154.09339832046783,852.8431905341117,1172.5227811724444,666.0680171168149,668.6469734090141,445.89451937348787,617.1147138786267,57.5774617712
3590.8570331682004,2218.272838043609,725.6564751442733,1258.6243088316892,464.8029670497087,381.4977267551647,740.5241769864194,687.5661204529156,403.9237046216122,278.0722006020086,98.61752280271531,507.9985167594348,1062.4572145060795,324.08617352436596,619.4561230731696,1756.6023194417708,2454.047353308535,782.8040617842519,692.5283475891604,1115.0385522066208,827.1710879604275,594.121300015697,122.55737028910325,1066.9844419099072,788.9071889502652,1376.0070430551025,197.73889374633475,820.126162572529,0.39
1814.1955994531,1686.5984908034911,1472.7023241059298,1331.749861382121,888.0936801391571,213.14515466779162,712.9818296046345,455.6693649364884,512.4764793680678,646.7661374814165,277.51678906803613,927.1102719178868,874.1423762168713,474.2843968770901,662.1479260198994,1565.195551480345,1002.4479549895779,621.930564489065,910.7609620697182,223.44833988477154,557.3129995947462,327.1380979594769,606.7871073134046,263.36897225740546,427.1668298400672,144.4288226196428,325.7977983179892,159.83786101284585,30642.042721136
846.6894431251,839.7453708188357,818.8494663604466,783.8726998003583,734.7907779599491,671.920193043022,596.1673204022833,509.24597643862626,413.85036089586333,313.8538698896417,214.92440069908784,127.83054913277473,85.59199854212548,119.26677067256377,172.9678463031946,216.2136589857198,241.49371124097777,246.92147062659768,233.51288005586775,205.22943744523394,170.53307672354214,145.86817188790522,152.53660521796172,191.99721852885122,245.90790592753135,299.02772810136673,342.30264333117884,370.2864624941658,100000.0
